country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Saudi Arabia,42500,47300,47700,45800,44900,44000,44200,43800,44300,41700,43100,41500,39200,42300,44400,45500,45500,45100,46700,44500,45400,48500,49700,49500,50000,50700,50400,49000
Senegal,1840,1840,1800,1770,1720,1770,1760,1770,1830,1900,1910,1950,1910,1990,2050,2110,2100,2150,2170,2160,2180,2160,2190,2200,2220,2290,2380,2470
Serbia,,,,,,7390,7580,8150,8380,7390,7980,8400,9000,9420,10300,10900,11500,12200,12900,12600,12700,13000,12900,13300,13100,13300,13700,14000
Seychelles,14200,14400,15400,16000,15400,15100,15600,17300,18400,18300,18500,18000,17700,16800,16400,17800,19100,21000,20100,19800,20400,22600,22600,23500,24200,24900,25600,26400
Sierra Leone,1250,1270,1030,1050,1040,956,971,909,915,880,913,823,995,1040,1060,1060,1070,1120,1160,1170,1200,1250,1400,1660,1690,1310,1360,1390
Singapore,34300,35600,37000,40200,43300,44900,46400,48600,45900,48300,51700,49900,51500,54600,59000,62000,65400,68400,66000,63700,72100,75100,76300,78900,80900,81700,82600,85500
Slovak Republic,,,11600,11800,12500,13200,14000,14900,15400,15400,15600,16200,16900,17800,18800,20000,21700,24000,25400,24000,25200,25800,26200,26600,27300,28300,29200,30200
Slovenia,,,,,,18400,19100,20100,20800,21900,22700,23400,24200,24900,26000,27000,28400,30200,31100,28500,28700,28800,28000,27600,28400,29000,29900,31400
Solomon Islands,1880,1940,2130,2150,2280,2400,2370,2270,2250,2180,1820,1630,1540,1600,1630,1680,1750,1840,1920,1790,1870,2070,2120,2140,2140,2150,2180,2210
South Africa,9700,9380,8960,8860,8940,9030,9240,9320,9220,9290,9540,9660,9880,10000,10400,10800,11300,11700,12000,11700,11900,12100,12200,12300,12400,12400,12300,12300
South Korea,11600,12700,13400,14100,15300,16600,17700,18500,17400,19200,20800,21500,23000,23500,24600,25500,26700,28000,28600,28600,30400,31200,31800,32500,33400,34200,35000,35900
South Sudan,,,,,,,,,,,,,,,,,,,,,,3370,1550,1940,1940,1880,1570,
Spain,23800,24300,24400,24000,24500,25100,25600,26400,27500,28600,30000,31000,31400,31800,32300,32900,33700,34300,34200,32700,32500,32100,31100,30700,31200,32300,33300,34300
Sri Lanka,3610,3730,3850,4080,4260,4460,4600,4870,5070,5260,5540,5420,5590,5870,6140,6480,6920,7340,7720,7950,8530,9190,9980,10200,10700,11100,11400,11700
St. Kitts and Nevis,14300,14000,14400,15300,15900,16600,17400,18400,18000,18400,20200,21000,21200,20200,20600,22100,22300,22000,23100,22100,21400,21700,21300,22400,23500,24200,24500,24700
